ï»¿ID,Target,Tweet,Stance
"
1",Atheism,exalts shall humbled humbles shall exalted matt semst,AGAINST
"
2",Atheism,rt prayerbullets remove nehushtan previous move god become idol high place king semst,AGAINST
"
3",Atheism,brainman heidtjj benjaminlives sought truth soul found strong enough stand merit semst,AGAINST
"
4",Atheism,god utterly powerless without human intervention semst,AGAINST
"
5",Atheism,morality derived religion precedes christopher hitch hitchens freethinker semst,AGAINST
"
6",Atheism,godly husband know trust love respect honor support want appreciates god semst,AGAINST
"
7",Atheism,seculardutchess huckleberry deanmodified semst,AGAINST
"
8",Atheism,bible big irrelevant book lie exaggeration judaism god teamjesus islam truth freedom semst,AGAINST
"
9",Atheism,dream real gone singlebecause getonyourfeet semst,AGAINST
"
10",Atheism,let house built wisdom become strong good sense prov semst,AGAINST
"
11",Atheism,day cool kid atheist freethinker semst,AGAINST
"
12",Atheism,next time hear someone say founding father intended christian nation show em quote semst,AGAINST
"
13",Atheism,iloveislambecause v love islam deen instead semst,AGAINST
"
14",Atheism,god fear god insecurity god worry god everything semst,AGAINST
"
15",Atheism,mary queen martyr pray u catholic semst,AGAINST
"
16",Atheism,america like u beauty brutality coursing blood thofjuly spirituality semst,AGAINST
"
17",Atheism,baloch allow talibanization balochistan taliban extremism semst,AGAINST
"
18",Atheism,became slave cross men could go free semst,AGAINST
"
19",Atheism,exo commit murder commit adultery steal semst,AGAINST
"
20",Atheism,exo lord always remember semst,AGAINST
"
21",Atheism,father grant u grace remain holy vessel honour ur house openheaven nativarietysunday sundaymorningshow semst,AGAINST
"
22",Atheism,care person person xtian atheist polpott hitler mao god still exist semst,AGAINST
"
23",Atheism,never know much god life ask lifechangingjourneywithjesus semst,AGAINST
"
24",Atheism,jesus response religious environment create royal environment drove people nut still thank god semst,AGAINST
"
25",Atheism,sanctify thy truth thy word truth john kjv semst,AGAINST
"
26",Atheism,psalm god give sign father within next day show sign token semst,AGAINST
"
27",Atheism,best conspiracy world religion science davincisdemons semst,AGAINST
"
28",Atheism,american conservatism everything religion good stuff taking semst,AGAINST
"
29",Atheism,humanist church new cloth kissthering tcot semst,AGAINST
"
30",Atheism,stay age love never change love never fails semst,AGAINST
